n,time
8,0
12,5004
16,123950
12,5004
17,274283
3,0
9,0
14,24022
7,0
5,0
5,0
16,124585
10,1001
4,0
12,4003
5,0
15,53889
3,0
3,0
9,1001
9,0
5,0
11,2002
10,1000
19,1342217
14,24410
20,2928834
4,0
6,0
9,0
8,0
6,0
5,0
10,1001
20,2955085
3,0
10,1001
12,5004
5,0
6,0
5,0
5,0
3,0
19,1340403
4,0
9,0
5,0
9,0
9,0
6,0
7,0
13,11010
20,2976287
3,0
7,0
8,0
12,5023
17,268906
19,1315191
14,24060
14,24021
5,0
17,264464
9,0
4,0
13,11040
4,0
20,2952877
7,0
15,55218
17,288076
12,5147
16,128023
19,1373824
20,3012971
9,0
4,0
3,0
6,0
7,1000
6,0
16,122542
15,79643
11,3003
3,0
10,1000
11,4004
18,651831
3,0
3,0
4,0
19,1386481
4,0
15,55214
3,0
18,663826
12,5004
9,0
6,0
16,123518
14,24020
12,5005
3,0
8,0
4,0
4,0
10,1001
9,0
10,1001
20,3014993
16,121145
7,1000
12,4004
7,0
17,279637
10,1000
19,1376724
13,11010
16,126570
16,127993
14,25934
12,5005
20,3050602
17,281335
17,279868
9,1001
3,0
4,0
11,2002
3,0
13,11009
16,124570
3,0
15,59651
10,1000
5,0
4,0
12,5006
10,999
18,615943
17,278591
5,0
8,0
14,26024
17,277140
16,121725
17,277237
4,0
8,0
13,12011
9,0
11,2002
14,25549
20,3014905
19,1377234
10,1001
18,629810
5,0
5,0
7,0
3,0
4,0
16,127946
18,627286
19,1380878
10,1001
20,3027532
18,623762
15,57919
16,125529
14,27025
8,0
9,1001
3,0
16,150133
14,25022
13,14013
20,3023935
16,126011
16,121292
10,1001
18,615384
15,56562
6,0
9,0
7,0
4,0
7,0
15,57052
15,55105
4,0
7,0
9,0
6,0
13,11010
12,5005
5,0
14,26023
16,130245
5,0
13,11013
17,279945
18,630448
6,1001
19,1365032
5,0
13,11468
5,0
20,2981267
9,1001
19,1438364
7,0
12,5005
18,640739
14,30027
8,0
19,1384553
17,278589
7,0
13,12011
13,11010
13,11010
5,0
5,0
11,3003
16,123891
12,5004
3,0
15,54050
16,124234
18,612968
9,0
14,25023
8,0
17,277391
9,0
9,1001
7,0
5,0
4,0
12,5005
18,625223
9,1002
7,0
16,127876
13,11010
9,0
11,3002
10,0
15,55745
3,0
7,0
6,0
10,1001
3,0
7,0
9,0
17,276655
8,0
6,0
19,1374993
18,623150
19,1384439
9,0
15,57174
8,0
20,2971730
12,5005
10,1001
15,55307
9,0
8,1002
6,0
8,0
6,0
20,2956486
19,1352694
5,0
11,2002
9,0
13,11010
3,0
10,1001
13,11010
5,0
14,24022
12,5004
3,0
4,0
9,0
13,11010
20,2966875
6,0
19,1345440
13,11010
10,1001
14,24938
12,5004
3,0
19,1350000
13,11010
8,0
17,286318
10,1001
10,1001
10,0
3,0
10,1002
11,2001
5,0
16,125257
8,0
4,0
8,0
9,1000
18,628475
4,0
15,56051
19,1356483
18,610055
20,2942929
6,0
18,592948
12,4003
16,130185
13,11010
16,134231
13,11011
5,0
10,1000
11,2003
20,2917521
18,618549
9,1001
10,1001
3,0
20,2913475
20,2938856
18,596549
18,610697
20,2957070
5,0
14,25023
4,0
18,632962
7,0
13,11010
20,2917763
15,55052
18,597038
15,53572
20,2909775
4,0
13,10009
8,1001
6,0
10,1001
20,2949215
19,1326459
4,0
19,1316828
12,5005
5,0
9,0
5,0
20,2930924
16,119415
8,0
10,1000
9,0
17,270874
13,10009
18,596212
7,0
17,272364
5,0
14,24022
11,2002
14,24021
4,0
11,2003
8,1001
18,601851
9,0
3,0
7,0
4,0
12,4004
8,1000
6,0
14,23021
10,1001
18,631009
17,288657
9,1001
5,0
19,1328376
15,53048
6,0
3,0
18,593524
9,1001
13,10224
7,0
10,1001
3,0
14,24022
14,23021
12,5005
10,1000
9,0
7,0
8,0
5,0
15,54773
11,2000
9,1002
7,0
16,117386
14,24022
7,0
8,0
20,2918406
3,0
20,2925964
4,0
5,0
7,0
16,126885
8,0
10,1002
18,605523
6,0
12,5005
3,0
20,2942647
14,24022
3,0
7,0
17,275971
6,0
5,0
11,2001
3,0
8,0
13,11010
14,23488
16,131085
14,25022
14,24022
9,0
5,0
4,0
4,0
6,0
4,0
14,24041
15,53048
5,0
11,2003
9,0
10,1000
19,1396282
15,54513
14,25022
