n,time
984,21019
549,6005
1946,80675
544,7006
1200,31028
1522,50184
1784,68200
575,7006
1475,47311
1319,37032
1536,50045
1909,79073
1940,80112
303,2002
267,1000
189,1000
1613,55258
140,1001
834,15012
585,8007
1660,59182
1297,35187
1519,48044
699,9901
485,5005
32,0
1431,44040
1883,75244
1209,31028
881,16014
1773,65058
1726,62057
318,3002
775,12010
511,6005
1595,53452
198,1001
1794,69812
1360,39035
630,8008
843,15013
1898,77096
329,2001
653,9007
593,7007
1316,37544
774,13012
646,8008
937,19018
267,2001
1833,70171
525,6006
1600,55995
1340,38033
951,19236
1940,78640
933,19017
1837,73065
1406,41037
1434,44053
499,5005
1767,65594
1830,69295
1478,47149
1055,23020
295,2001
524,6005
22,0
1787,68061
1539,50046
1880,75068
741,11011
479,4026
640,9007
596,7006
1709,65754
1483,45542
10,0
113,1001
304,2002
1455,45041
340,2002
229,1001
930,18017
828,14013
1158,28025
748,11556
1546,49044
718,10629
132,0
1565,51047
234,1001
388,3002
172,0
997,21019
706,10008
1023,22021
333,2002
1880,75090
1662,57052
484,5005
1176,29025
691,10009
1762,64058
1710,61057
144,0
1013,20758
1149,28026
1557,51320
969,22022
1026,22020
539,5473
290,1001
1001,21019
794,13012
598,8007
530,6005
1960,80542
227,1001
1455,44041
1941,79194
76,0
178,0
1895,75459
878,15014
1413,41561
934,19018
360,3003
1121,27025
1406,41037
1364,38579
1693,59779
665,9009
98,1000
803,13011
1832,69517
79,0
441,4003
893,16504
228,1000
580,7006
1412,41038
1870,73066
1360,39036
763,12011
1564,51046
900,18017
515,5004
1340,37034
1960,84076
1275,34032
1268,34030
298,2004
705,10009
1654,57512
530,5004
1285,35031
995,20523
683,10009
1639,56722
1465,45041
1527,49044
401,4004
889,17016
541,6068
1153,35558
811,15014
688,10413
1364,39035
866,15519
472,5005
1296,37034
1004,22021
62,0
175,0
1695,60054
1498,47330
651,8008
1254,33025
1317,36033
560,6007
374,3003
1272,34031
1338,36918
1472,46395
1021,22348
740,12011
1431,43422
1422,42038
198,1000
867,15014
307,2001
118,1001
1130,27025
1966,83634
224,1001
1342,37332
1317,36349
597,8100
1627,56050
6,0
1128,27024
1516,48266
1128,26023
372,3003
926,18312
1646,56051
983,20326
1558,50046
773,12779
433,4004
1802,67968
1123,26024
693,10005
232,1000
1758,64059
1839,72548
1307,35105
1781,67582
1869,72366
1892,74486
563,7007
1666,58053
36,0
344,3003
1668,58220
544,7007
1674,59243
1705,61003
1934,78940
1047,23020
996,20969
391,4004
1766,64187
1074,25022
738,11010
1217,31026
1389,40036
232,1130
1995,82333
1919,77038
273,2002
145,1001
1026,22020
1460,44040
1523,48647
809,13012
893,17015
412,3003
1888,75691
1890,74960
1065,24023
654,9009
1350,38697
1755,65027
736,11010
1485,46041
264,2003
788,13011
1314,36284
1261,33031
121,0
433,4364
1822,69310
1496,47044
1433,46042
324,3004
780,12918
596,7006
372,2647
487,5004
1329,37035
1514,47700
1613,54489
1249,33030
143,0
1676,58903
1235,31592
628,9008
1185,30026
1737,62056
199,0
685,9420
339,3004
1539,50045
350,2804
1804,67342
1757,63530
88,1000
1707,60320
1858,71252
859,15014
1249,32601
577,6951
1152,27024
47,0
1410,40966
1847,73334
821,14012
52,0
1912,76156
1398,41196
109,0
1747,63218
620,8007
392,3002
1263,33626
1142,27023
1696,60002
1879,74157
882,16014
1673,59987
95,0
825,14013
1828,70353
1452,43039
429,4005
754,12355
595,7006
1730,61910
975,20019
1262,33030
181,0
616,7512
1989,81383
1545,51906
952,19018
1831,70643
300,2001
406,3003
1153,28080
1378,40573
1393,40692
1317,36287
1654,57300
197,1001
127,0
14,0
1699,59921
1247,32029
1562,51072
1644,55995
1029,22020
1997,83076
748,12360
1701,60902
1724,61059
875,16015
1490,46024
1340,37724
55,0
342,2002
1551,50331
941,18017
198,1000
664,9259
419,4003
1003,21019
142,1000
1012,21019
349,3004
1674,57351
1700,60478
734,11011
1133,29052
742,12010
1875,74025
1332,37660
1397,40036
611,7006
1121,26037
651,9009
1818,68473
146,0
1351,38054
576,7005
725,11010
1766,64306
404,3003
935,18676
922,18092
458,4004
1037,23021
1742,63292
1964,83407
812,14013
540,6016
1262,33030
324,3003
1518,47802
43,0
614,8007
1596,52340
610,7006
1100,25023
1442,43040
179,1001
776,13013
723,11033
1004,20040
316,2002
1944,79215
723,11010
1850,71064
466,4003
260,1001
807,14037
1416,42039
935,18248
473,4004
982,20018
718,11010
1505,48335
1674,58569
1536,49740
973,20018
1582,52778
1948,79119
1506,47158
1683,57881
410,3003
1637,55891
1702,60824
323,2003
1471,45041
944,19017
1092,25022
305,2002
913,18016
361,2281
1259,33030
290,2002
1864,73481
1347,38681
1516,48207
1105,25023
448,4004
629,8007
1058,23836
789,13012
111,1001
1166,28025
1590,53057
1377,40167
616,8007
34,0
1132,27026
232,1000
1721,62567
1579,52304
483,5004
1062,23021
729,10620
214,1001
1595,53048
1877,72966
428,4003
275,2002
751,12011
401,4004
1928,78566
1984,82429
1436,42766
1480,46177
409,3002
1291,35052
1513,48585
1137,27280
907,18017
1952,79966
1663,57052
1303,36344
1369,38035
189,1002
350,3003
1128,26362
712,10009
906,17015
1832,70063
913,17156
1365,39036
560,7007
519,5004
1441,44040
1613,54422
1982,82685
1183,28639
892,16014
745,12011
67,0
1954,79072
1911,78666
207,1001
1478,46247
1044,23021
1098,25023
499,6005
642,9008
430,3385
1596,53047
1696,61476
862,15554
1041,23021
1518,48272
1814,68556
954,19839
1557,50656
180,1001
897,16014
1752,65081
1783,66060
910,17279
1596,53047
1306,35820
1619,55185
1925,77736
1847,72954
1578,53863
619,8008
1666,57779
624,8007
124,0
819,14013
993,23527
1690,67940
19,0
1015,24023
1505,54049
1528,55334
475,5004
987,21019
93,0
153,1001
1160,29447
271,1001
214,1001
1272,35032
410,3003
1671,66493
1727,65826
1466,46042
83,0
949,19018
1375,40347
77,0
228,1003
1548,51577
1374,41650
244,1026
66,0
1137,27024
600,8007
497,5004
1057,23022
195,1029
1383,41037
916,18016
1928,82424
1588,53870
449,4003
242,1000
486,5004
995,21018
828,15013
1725,65396
352,3002
1252,34032
144,0
55,0
1339,44190
1318,37572
85,1000
20,0
882,17016
1694,60813
1154,29027
360,3003
822,14011
1386,42184
192,1001
536,7006
1104,26324
1526,50046
1053,24021
1406,42039
1410,42039
722,10986
1895,77768
1192,30026
1194,31027
336,3004
1682,60533
838,15013
1557,52614
52,1001
678,10137
1713,63737
1770,69643
615,8007
94,0
1045,24021
395,4004
998,22071
633,9008
1927,81116
1737,65745
193,1001
956,20017
614,8008
396,3002
904,17015
1588,55506
1208,39036
543,7495
1524,51580
1358,39035
1429,44379
1426,43039
434,4676
992,21019
1196,30027
1371,40037
1107,26753
974,20020
400,3002
1986,84572
1062,24023
449,5006
518,5004
1320,37034
222,1001
644,8007
1442,43990
1881,74942
95,0
1104,25454
1294,35031
1391,42287
212,1001
1217,31563
1706,62057
1443,45061
624,9008
1597,54049
1624,57247
1960,82074
786,13224
70,0
207,0
1444,44039
858,16015
1216,31028
449,4005
253,1001
1957,81073
1120,26595
1111,27494
80,0
1547,51448
1167,28560
192,1001
928,18016
1723,63465
760,12011
981,20019
492,6006
1831,71184
601,7007
734,11010
1489,46597
725,12012
284,1001
742,12012
661,10010
259,1000
1684,61347
615,8007
1495,47198
133,0
1255,34031
630,8088
735,11010
573,7006
881,17014
932,18424
144,1001
1882,76058
299,2001
1415,43572
1732,65476
7,0
1372,39081
464,5004
1896,77721
575,7006
1841,72066
1615,56051
656,9843
701,10009
1746,65816
250,1000
1236,33028
790,13011
1786,68954
1413,42577
1196,31818
535,6005
1719,63955
1889,74947
1005,22020
1118,29247
1655,60396
83,0
1157,30028
146,1000
1041,24021
400,3002
1394,43634
747,12010
543,7006
1076,24805
1857,75068
1793,72481
796,14014
146,1000
1974,83421
1612,60264
146,0
1692,61747
967,20018
1255,34522
1519,49842
1679,59322
312,2001
1345,39035
587,7005
1183,30028
1249,33030
194,1001
944,19018
210,1001
250,1001
579,7006
1931,80043
464,5004
543,6005
982,20243
228,1001
611,8007
216,1001
19,0
698,11010
1585,53466
1416,44510
530,6005
1336,44040
119,1001
249,1001
841,15684
1345,39803
149,1001
1791,69318
1696,62057
1697,62264
1139,27770
548,6005
735,12012
326,2002
422,4004
1034,22021
927,18017
1128,28025
936,19017
1507,48044
373,3002
1271,35671
1591,53622
1273,34569
1305,36472
773,13012
119,0
1321,38593
1023,22019
1063,25024
1201,31029
1652,60908
573,7006
233,1000
1450,45918
1707,62504
1153,30543
801,14013
394,5194
200,1001
1526,54657
1024,24022
1203,33030
797,14042
1402,49295
88,0
1862,85844
560,7006
1345,44500
1886,81951
968,22020
837,15149
879,20198
1710,66332
987,24022
874,24022
621,12011
677,15694
1016,24799
1758,71888
1486,52046
1904,79974
377,3002
20,0
1975,95731
741,13013
1920,88748
1340,41038
520,6007
1755,70783
520,5005
826,15013
1874,78624
729,12011
1192,31564
1803,71998
224,1000
1938,85938
615,9008
598,8007
1160,31027
284,2002
1343,44519
1725,71580
1861,88466
764,14013
945,21019
455,5006
1242,35208
82,0
654,9007
1817,73619
146,1002
1631,59054
252,1001
800,13586
809,14013
396,4004
1731,65074
678,10010
544,7006
1466,46053
789,14012
1101,26151
1712,63663
1070,25022
288,2002
141,1001
769,13013
953,21576
882,17016
723,12010
261,1001
1699,66059
195,1001
1230,35287
538,6006
1921,79679
1278,35855
1281,36034
153,1001
211,1001
535,6005
843,15014
260,1002
740,12011
904,19016
1780,69063
1981,86960
1810,71236
1383,40917
806,15014
46,0
859,16016
691,10009
953,19036
402,4004
811,14012
1826,71508
442,4004
1427,43489
1131,27576
643,9009
115,1000
1408,42038
988,21019
1143,27474
1074,24022
413,4004
1192,30278
107,1001
97,0
1646,57392
1870,74474
1471,46041
1127,27026
669,9008
16,0
924,19017
151,0
1418,43086
25,0
1237,32028
1807,69418
1606,55584
901,17014
314,2002
1594,54678
1790,69667
50,0
441,4004
1768,67535
617,8008
282,2003
462,5005
486,5005
890,17015
790,13752
198,0
1550,52047
845,15014
861,16015
1164,29026
1117,27024
1607,56055
1523,49044
1735,64058
1920,78045
309,2002
1806,69918
32,0
1978,82516
1154,28393
1194,30027
400,3003
1217,31460
1641,57453
1723,64683
1768,65471
964,20017
571,7006
534,6005
486,5005
349,3003
1543,50044
588,7006
236,1001
383,4003
1612,56051
1077,25658
1584,53601
1213,31028
950,19017
814,14013
212,1001
1175,30027
589,8006
785,13011
130,0
351,3003
746,12011
1294,36033
1685,61525
937,19018
920,18719
1706,61942
17,0
678,9008
1066,24022
275,2002
686,10009
1997,84397
1508,49044
1000,21574
303,2002
1528,50036
978,22020
198,1002
1105,26570
942,18611
117,0
184,1000
1374,42069
1993,85508
407,4004
724,11011
1721,63565
1728,64478
129,0
802,13012
183,1001
546,6005
1117,26052
366,4003
1724,62948
1696,62058
1964,81463
1455,45984
1866,73607
1676,59966
671,10009
715,11010
1296,36361
1288,36034
373,3003
259,2002
675,9032
692,10009
1521,48501
1678,61055
1749,66027
416,3004
772,13012
902,17015
1550,51887
1386,41040
1325,38062
215,992
1062,25024
1902,76997
1097,27024
1966,83075
443,5046
351,2001
202,1002
1092,26024
621,8007
252,1001
195,0
150,0
924,18017
1873,75552
1657,58572
968,19017
321,2001
1694,60590
706,10009
1107,26024
1866,73931
823,14012
1363,38576
1275,35032
1295,36624
890,17016
1570,53524
642,9008
506,5005
1782,67637
886,17015
632,8007
1744,65059
1996,84436
1347,38034
198,0
782,13012
1168,29026
735,12012
955,19017
1831,71064
288,1433
820,15014
1133,27556
1113,26372
567,7007
1488,47583
311,2001
280,2002
1324,38034
254,2002
552,7007
103,0
1386,42173
855,15013
1496,48497
507,6005
1404,43682
1172,30028
682,10008
920,19017
1738,63502
696,11011
1979,84536
1512,48799
1538,52578
1140,30566
505,6005
401,4004
161,1001
876,16947
1320,37568
1279,36538
629,10009
380,4004
1489,52043
1838,73067
549,6004
1057,24021
823,14013
1643,59354
514,6006
327,2002
1156,29026
1572,55050
356,3002
1934,85580
581,8008
1808,72636
71,0
92,1001
1998,86093
692,11010
1444,47993
939,19017
246,1001
1473,46450
973,20019
1362,39412
214,1001
1850,72980
1297,36032
786,14169
1549,51046
396,3507
1804,69143
132,0
1390,41038
185,1000
890,16361
1948,80424
1221,30578
1417,42220
1316,37034
1138,27024
1506,48479
166,0
1622,56053
948,19017
1161,28025
536,7007
318,2002
848,15317
684,10010
1719,62899
1538,50045
445,3579
1966,81242
345,3003
1508,47373
921,18017
1225,32028
1808,69106
1007,22008
493,5005
1738,64060
1840,70947
147,0
209,1001
756,12011
51,1001
1616,55317
1619,55052
807,14013
585,7006
305,2001
109,0
1292,35561
1916,76933
922,18017
1420,43269
359,3003
1914,77546
157,0
194,0
740,11009
1178,29064
755,12012
1411,41986
1785,67570
1358,39036
1640,56229
982,21019
166,1001
1716,62057
1588,53048
1505,49083
1989,83887
1838,71065
1877,74601
1211,32029
1105,26024
1436,44041
118,0
62,1000
515,5005
1066,24610
528,6005
129,0
1810,68957
233,2002
1693,61019
1215,31030
1461,45376
1545,50003
1228,33029
505,5004
298,2001
1160,28478
1934,79333
1112,26023
1544,50580
1965,81608
1904,76502
795,14013
1649,57518
458,5004
832,15014
497,5005
248,1000
487,5004
642,9007
1165,29843
1186,30028
1630,57052
261,1001
467,4005
310,2002
1406,41869
1227,32029
207,1001
1861,72966
493,6005
1793,68643
202,1000
1838,71366
1601,54580
655,9008
1159,29026
1122,26609
449,4004
1433,44040
357,3002
445,4005
236,2001
490,5008
